Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
64,32867,species,Common Chlorospingus,Chlorospingus flavopectus,4,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
65,31999,species,Golden-browed Chlorophonia,Chlorophonia callophrys,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
66,28724,species,White-throated Thrush,Turdus assimilis,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
67,28646,species,Mountain Thrush,Turdus plebejus,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
68,27612,species,Gray-breasted Wood-Wren,Henicorhina leucophrys,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
69,27594,species,White-breasted Wood-Wren,Henicorhina leucosticta,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
70,27241,species,Ochraceous Wren,Troglodytes ochraceus,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
71,16984,species,Yellowish Flycatcher,Empidonax flavescens,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
72,16883,species,Tufted Flycatcher,Mitrephanes phaeocercus,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
73,16800,species,Mistletoe Tyrannulet,Zimmerius parvus,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
74,16725,species,Mountain Elaenia,Elaenia frantzii,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
75,16206,species,Olive-streaked Flycatcher,Mionectes olivaceus,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
76,16165,species,White-throated Spadebill,Platyrinchus mystaceus,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
77,14613,species,Olivaceous Woodcreeper,Sittasomus griseicapillus,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
78,14560,species,Gray-throated Leaftosser,Sclerurus albigularis,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
79,10936,species,Keel-billed Toucan,Ramphastos sulfuratus,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
80,10836,species,Northern Emerald-Toucanet,Aulacorhynchus prasinus,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
81,9579,species,Collared Trogon,Trogon collaris,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
82,9508,species,Resplendent Quetzal,Pharomachrus mocinno,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
83,5015,species,Stripe-tailed Hummingbird,Eupherusa eximia,1,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
84,5008,species,Coppery-headed Emerald,Microchera cupreiceps,4,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
85,4952,species,Violet Sabrewing,Campylopterus hemileucurus,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
86,4794,species,Magenta-throated Woodstar,Philodice bryantae,4,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
87,4757,species,Purple-throated Mountain-gem,Lampornis calolaemus,3,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
88,4706,species,Green-crowned Brilliant,Heliodoxa jacula,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
89,4359,species,Lesser Violetear,Colibri cyanotus,4,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
90,4260,species,Green Hermit,Phaethornis guy,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
91,884,species,Crested Guan,Penelope purpurascens,2,Curi-Cancha Refugio de Vida Silvestre,CR-P,06 Jan 2026,L1468729,S292832943,,1
92,34360,species,Slate-throated Redstart,Myioborus miniatus,1,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
93,34233,species,Chestnut-capped Warbler,Basileuterus delattrii,2,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
94,33358,species,White-eared Ground-Sparrow,Melozone leucotis,2,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
95,33158,species,Rufous-collared Sparrow,Zonotrichia capensis,2,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
96,31977,species,Elegant Euphonia,Chlorophonia elegantissima,3,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
97,27535,species,Cabanis's Wren,Cantorchilus modestus,1,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
98,27209,species,Southern House Wren,Troglodytes musculus,2,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
