comName,sciName,invasionStatus,conservStatus,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
Aleutian Tern,Onychoprion aleuticus,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent,Absent,Absent,Absent
Sooty Tern,Onychoprion fuscatus,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Bridled Tern,Onychoprion anaethetus,Native,Least concern,Rare/Accidental,Native,Absent,Absent,Present,Present,Absent,Present,Present,Present,Present
Gray-backed Tern,Onychoprion lunatus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent
Least Tern,Sternula antillarum,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Yellow-billed Tern,Sternula superciliaris,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental
Large-billed Tern,Phaetusa simplex,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental
Gull-billed Tern,Gelochelidon nilotica,Native,Least concern,Native,Native,Present,Absent,Present,Present,Absent,Present,Present,Present,Present
Caspian Tern,Hydroprogne caspia,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Inca Tern,Larosterna inca,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent
Whiskered Tern,Chlidonias hybrida,Rare/Accidental,,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental
Black Tern,Chlidonias niger,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
White-winged Tern,Chlidonias leucopterus,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental
Forster's Tern,Sterna forsteri,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Arctic Tern,Sterna paradisaea,Native,Least concern,Native,Rare/Accidental,Present,Present,Present,Present,Present,Present,Present,Present,Present
Common Tern,Sterna hirundo,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Roseate Tern,Sterna dougallii,Native,Least concern,Native,Native,Present,Absent,Present,Absent,Absent,Absent,Present,Present,Present
Sandwich Tern,Thalasseus sandvicensis,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Elegant Tern,Thalasseus elegans,Native,Near threatened,Rare/Accidental,Rare/Accidental,Absent,Absent,Present,Present,Absent,Present,Present,Present,Present
Royal Tern,Thalasseus maximus,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Great Crested Tern,Thalasseus bergii,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent
Chilean Flamingo,Phoenicopterus chilensis,Introduced,,Rare/Accidental,Introduced,Absent,Introduced,Absent,Introduced,Absent,Absent,Introduced,Introduced,Absent
American Flamingo,Phoenicopterus ruber,Native,Least concern,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Native,Native
Greater Flamingo,Phoenicopterus roseus,Rare/Accidental,,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Rare/Accidental,Absent
Lesser Flamingo,Phoeniconaias minor,Rare/Accidental,,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Least Grebe,Tachybaptus dominicus,Native,Least concern,Absent,Rare/Accidental,Absent,Absent,Present,Present,Absent,Absent,Absent,Present,Present
Pied-billed Grebe,Podilymbus podiceps,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Atitlan Grebe,Podilymbus gigas,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent
Horned Grebe,Podiceps auritus,Native,Vulnerable,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Red-necked Grebe,Podiceps grisegena,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Eared Grebe,Podiceps nigricollis,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Present,Present,Present,Present
Western Grebe,Aechmophorus occidentalis,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Present,Absent
Clark's Grebe,Aechmophorus clarkii,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Present,Absent
Sunbittern,Eurypyga helias,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
White-tailed Tropicbird,Phaethon lepturus,Native,Least concern,Rare/Accidental,Rare/Accidental,Absent,Absent,Present,Present,Absent,Present,Present,Present,Present
Red-billed Tropicbird,Phaethon aethereus,Native,Least concern,Rare/Accidental,Rare/Accidental,Absent,Absent,Present,Present,Absent,Present,Present,Present,Present
Red-tailed Tropicbird,Phaethon rubricauda,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Absent,Present,Absent
Red-throated Loon,Gavia stellata,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Absent
Arctic Loon,Gavia arctica,Native,Least concern,Rare/Accidental,Absent,Present,Present,Absent,Present,Present,Absent,Present,Present,Absent
Pacific Loon,Gavia pacifica,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Present,Present,Present,Present
Common Loon,Gavia immer,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Yellow-billed Loon,Gavia adamsii,Native,Near threatened,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Present,Absent
Antipodean Albatross,Diomedea antipodensis,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Waved Albatross,Phoebastria irrorata,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Rare/Accidental,Absent
Laysan Albatross,Phoebastria immutabilis,Native,Near threatened,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent
Black-footed Albatross,Phoebastria nigripes,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Absent
Short-tailed Albatross,Phoebastria albatrus,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Absent
Light-mantled Albatross,Phoebetria palpebrata,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Rare/Accidental
White-capped Albatross,Thalassarche cauta,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Salvin's Albatross,Thalassarche salvini,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent
Chatham Albatross,Thalassarche eremita,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Black-browed Albatross,Thalassarche melanophris,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Rare/Accidental
Wilson's Storm-Petrel,Oceanites oceanicus,Native,Least concern,Native,Native,Absent,Absent,Present,Present,Absent,Present,Present,Present,Present
White-faced Storm-Petrel,Pelagodroma marina,Native,Least concern,Native,Native,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent
Black-bellied Storm-Petrel,Fregetta tropica,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
European Storm-Petrel,Hydrobates pelagicus,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent
Fork-tailed Storm-Petrel,Hydrobates furcatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Absent
Ringed Storm-Petrel,Hydrobates hornbyi,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Leach's Storm-Petrel,Hydrobates leucorhous,Native,Vulnerable,Native,Native,Present,Absent,Present,Present,Present,Present,Present,Present,Present
Townsend's Storm-Petrel,Hydrobates socorroensis,Native,Endangered,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent
Ainley's Storm-Petrel,Hydrobates cheimomnestes,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent
Swinhoe's Storm-Petrel,Hydrobates monorhis,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Ashy Storm-Petrel,Hydrobates homochroa,Native,Endangered,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent
Band-rumped Storm-Petrel,Hydrobates castro,Native,Least concern,Native,Native,Present,Absent,Present,Present,Absent,Present,Present,Present,Present
Wedge-rumped Storm-Petrel,Hydrobates tethys,Native,Least concern,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Absent
Black Storm-Petrel,Hydrobates melania,Native,Least concern,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Present,Absent
Guadalupe Storm-Petrel,Hydrobates macrodactylus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent
Markham's Storm-Petrel,Hydrobates markhami,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent
Tristram's Storm-Petrel,Hydrobates tristrami,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent
Least Storm-Petrel,Hydrobates microsoma,Native,Least concern,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Absent
Northern Giant-Petrel,Macronectes halli,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Northern Fulmar,Fulmarus glacialis,Native,Least concern,Native,Rare/Accidental,Present,Absent,Absent,Present,Present,Present,Present,Present,Present
Gray-faced Petrel,Pterodroma gouldi,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Kermadec Petrel,Pterodroma neglecta,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent
Trindade Petrel,Pterodroma arminjoniana,Native,Vulnerable,Rare/Accidental,Rare/Accidental,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Present
Herald Petrel,Pterodroma heraldica,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent
Murphy's Petrel,Pterodroma ultima,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent
Providence Petrel,Pterodroma solandri,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent
Zino's Petrel,Pterodroma madeira,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Desertas Petrel,Pterodroma deserta,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent
Mottled Petrel,Pterodroma inexpectata,Native,Near threatened,Rare/Accidental,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent
Bermuda Petrel,Pterodroma cahow,Native,Endangered,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Native
Black-capped Petrel,Pterodroma hasitata,Native,Endangered,Rare/Accidental,Rare/Accidental,Present,Absent,Present,Absent,Absent,Absent,Present,Absent,Present
Jamaican Petrel,Pterodroma caribbaea,Native,Critically endangered,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Juan Fernandez Petrel,Pterodroma externa,Native,Vulnerable,Rare/Accidental,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Present,Absent
Galapagos Petrel,Pterodroma phaeopygia,Native,Critically endangered,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Hawaiian Petrel,Pterodroma sandwichensis,Native,Endangered,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent
White-necked Petrel,Pterodroma cervicalis,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Absent
Bonin Petrel,Pterodroma hypoleuca,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent,Absent,Absent
Black-winged Petrel,Pterodroma nigripennis,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent
Cook's Petrel,Pterodroma cookii,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Absent
Stejneger's Petrel,Pterodroma longirostris,Rare/Accidental,,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent,Absent
Bulwer's Petrel,Bulweria bulwerii,Native,Least concern,Absent,Rare/Accidental,Absent,Absent,Absent,Present,Absent,Present,Absent,Present,Present
Jouanin's Petrel,Bulweria fallax,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Tahiti Petrel,Pseudobulweria rostrata,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent
White-chinned Petrel,Procellaria aequinoctialis,Rare/Accidental,,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Spectacled Petrel,Procellaria conspicillata,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent
Parkinson's Petrel,Procellaria parkinsoni,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent
Streaked Shearwater,Calonectris leucomelas,Rare/Accidental,,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent
Cory's Shearwater,Calonectris borealis,Native,Least concern,Native,Native,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Present
Scopoli's Shearwater,Calonectris diomedea,Native,Least concern,Native,Native,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Present
Cape Verde Shearwater,Calonectris edwardsii,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Pink-footed Shearwater,Ardenna creatopus,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Absent
Flesh-footed Shearwater,Ardenna carneipes,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Absent
Great Shearwater,Ardenna gravis,Native,Least concern,Native,Native,Present,Absent,Present,Present,Present,Absent,Present,Present,Present
Wedge-tailed Shearwater,Ardenna pacifica,Native,Least concern,Absent,Rare/Accidental,Absent,Absent,Present,Present,Present,Present,Absent,Present,Absent
Buller's Shearwater,Ardenna bulleri,Native,Vulnerable,Rare/Accidental,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Absent
Sooty Shearwater,Ardenna grisea,Native,Near threatened,Native,Native,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
Short-tailed Shearwater,Ardenna tenuirostris,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Absent,Absent,Present,Present,Present,Present,Present,Absent
Christmas Shearwater,Puffinus nativitatis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Absent
Galapagos Shearwater,Puffinus subalaris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Manx Shearwater,Puffinus puffinus,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Townsend's Shearwater,Puffinus auricularis,Native,Critically endangered,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Newell's Shearwater,Puffinus newelli,Native,Critically endangered,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent
Black-vented Shearwater,Puffinus opisthomelas,Native,Near threatened,Absent,Absent,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent
Barolo Shearwater,Puffinus baroli,Rare/Accidental,,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent
Sargasso Shearwater,Puffinus lherminieri,Native,Least concern,Native,Native,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Present
African Woolly-necked Stork,Ciconia microscelis,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Maguari Stork,Ciconia maguari,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental
White Stork,Ciconia ciconia,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Black-necked Stork,Ephippiorhynchus asiaticus,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Jabiru,Jabiru mycteria,Native,Least concern,Absent,Rare/Accidental,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Present
Marabou Stork,Leptoptilos crumenifer,Rare/Accidental,,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Wood Stork,Mycteria americana,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Magnificent Frigatebird,Fregata magnificens,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Lesser Frigatebird,Fregata ariel,Rare/Accidental,,Rare/Accidental,Absent,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent
Great Frigatebird,Fregata minor,Native,Least concern,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Present,Present
Northern Gannet,Morus bassanus,Native,Least concern,Native,Native,Present,Absent,Present,Present,Present,Absent,Present,Present,Present
Red-footed Booby,Sula sula,Native,Least concern,Rare/Accidental,Rare/Accidental,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
Brown Booby,Sula leucogaster,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Absent,Present,Present,Present,Present,Present
Cocos Booby,Sula brewsteri,Native,,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Absent
Masked Booby,Sula dactylatra,Native,Least concern,Rare/Accidental,Rare/Accidental,Absent,Absent,Present,Present,Absent,Present,Present,Present,Present
Nazca Booby,Sula granti,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Absent
Blue-footed Booby,Sula nebouxii,Native,Least concern,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Absent
Peruvian Booby,Sula variegata,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent
Anhinga,Anhinga anhinga,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
African Darter,Anhinga rufa,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Rare/Accidental,Absent
Brandt's Cormorant,Urile penicillatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Present,Absent
Red-faced Cormorant,Urile urile,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Absent,Absent
Pelagic Cormorant,Urile pelagicus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Present,Absent
Great Cormorant,Phalacrocorax carbo,Native,Least concern,Native,Native,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present
Double-crested Cormorant,Nannopterum auritum,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Neotropic Cormorant,Nannopterum brasilianum,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Guanay Cormorant,Leucocarbo bougainvilliorum,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent
White Ibis,Eudocimus albus,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Scarlet Ibis,Eudocimus ruber,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental
Glossy Ibis,Plegadis falcinellus,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
White-faced Ibis,Plegadis chihi,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Green Ibis,Mesembrinibis cayennensis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Bare-faced Ibis,Phimosus infuscatus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent
Buff-necked Ibis,Theristicus caudatus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
African Sacred Ibis,Threskiornis aethiopicus,Introduced,Least concern,Absent,Introduced,Absent,Absent,Introduced,Introduced,Absent,Absent,Absent,Absent,Absent
Eurasian Spoonbill,Platalea leucorodia,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Roseate Spoonbill,Platalea ajaja,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Rufescent Tiger-Heron,Tigrisoma lineatum,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Bare-throated Tiger-Heron,Tigrisoma mexicanum,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Fasciated Tiger-Heron,Tigrisoma fasciatum,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Boat-billed Heron,Cochlearius cochlearius,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Agami Heron,Agamia agami,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Eurasian Bittern,Botaurus stellaris,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
American Bittern,Botaurus lentiginosus,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Pinnated Bittern,Botaurus pinnatus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental
Stripe-backed Bittern,Botaurus involucris,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Least Bittern,Botaurus exilis,Native,,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Little Bittern,Botaurus minutus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Yellow Bittern,Botaurus sinensis,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Yellow-crowned Night Heron,Nyctanassa violacea,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Black-crowned Night Heron,Nycticorax nycticorax,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Capped Heron,Pilherodius pileatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Whistling Heron,Syrigma sibilatrix,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental
Little Blue Heron,Egretta caerulea,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Present,Present,Present,Present
Tricolored Heron,Egretta tricolor,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Reddish Egret,Egretta rufescens,Native,Near threatened,Rare/Accidental,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Chinese Egret,Egretta eulophotes,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Snowy Egret,Egretta thula,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Little Egret,Egretta garzetta,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Rare/Accidental
Western Reef-Heron,Egretta gularis,Rare/Accidental,,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental
Striated Heron,Butorides striata,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Green Heron,Butorides virescens,Native,,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Squacco Heron,Ardeola ralloides,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Chinese Pond-Heron,Ardeola bacchus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Western Cattle-Egret,Ardea ibis,Native,,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Eastern Cattle-Egret,Ardea coromanda,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Great Egret,Ardea alba,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Medium Egret,Ardea intermedia,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
