comName,sciName,invasionStatus,conservStatus,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
Black Siskin,Spinus atratus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Lapland Longspur,Calcarius lapponicus,Native,Least concern,Native,native,Native,Native,Native,Native,Native,Absent,Native,Native,Rare/Accidental
Chestnut-collared Longspur,Calcarius ornatus,Native,Vulnerable,Rare/Accidental,Rare/Accidental,Native,Native,Native,Rare/Accidental,Rare/Accidental,Absent,Native,Native,Absent
Smith's Longspur,Calcarius pictus,Native,Least concern,Rare/Accidental,native,Native,Native,Native,Rare/Accidental,Native,Absent,Native,Absent,Absent
Thick-billed Longspur,Rhynchophanes mccownii,Native,Least concern,Rare/Accidental,Rare/Accidental,Native,Native,Native,Rare/Accidental,Absent,Absent,Native,Native,Absent
Snow Bunting,Plectrophenax nivalis,Native,Least concern,Native,native,Native,Native,Native,Native,Native,Rare/Accidental,Native,Absent,Rare/Accidental
McKay's Bunting,Plectrophenax hyperboreus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent
Rosy Thrush-Tanager,Rhodinocichla rosea,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Yellowhammer,Emberiza citrinella,Rare/Accidental,,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Pine Bunting,Emberiza leucocephalos,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent
Yellow-throated Bunting,Emberiza elegans,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Pallas's Bunting,Emberiza pallasi,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent
Reed Bunting,Emberiza schoeniclus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Yellow-breasted Bunting,Emberiza aureola,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent
Little Bunting,Emberiza pusilla,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Rare/Accidental,Absent
Rustic Bunting,Emberiza rustica,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent
Yellow-browed Bunting,Emberiza chrysophrys,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Gray Bunting,Emberiza variabilis,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Yellow-throated Chlorospingus,Chlorospingus flavigularis,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Ashy-throated Chlorospingus,Chlorospingus canigularis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Sooty-capped Chlorospingus,Chlorospingus pileatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Common Chlorospingus,Chlorospingus flavopectus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Tacarcuna Chlorospingus,Chlorospingus tacarcunae,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Pirre Chlorospingus,Chlorospingus inornatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Rufous-winged Sparrow,Peucaea carpalis,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Cinnamon-tailed Sparrow,Peucaea sumichrasti,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Stripe-headed Sparrow,Peucaea ruficauda,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-chested Sparrow,Peucaea humeralis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Bridled Sparrow,Peucaea mystacalis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Botteri's Sparrow,Peucaea botterii,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Cassin's Sparrow,Peucaea cassinii,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Absent,Absent,Present,Present,Absent
Bachman's Sparrow,Peucaea aestivalis,Native,Near threatened,Rare/Accidental,Native,Present,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent
Grasshopper Sparrow,Ammodramus savannarum,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Olive Sparrow,Arremonops rufivirgatus,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Green-backed Sparrow,Arremonops chloronotus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-striped Sparrow,Arremonops conirostris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Chipping Sparrow,Spizella passerina,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Clay-colored Sparrow,Spizella pallida,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Black-chinned Sparrow,Spizella atrogularis,Native,Least concern,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Absent
Field Sparrow,Spizella pusilla,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Brewer's Sparrow,Spizella breweri,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Present,Absent
Worthen's Sparrow,Spizella wortheni,Native,Endangered,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Five-striped Sparrow,Amphispizopsis quinquestriata,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Black-throated Sparrow,Amphispiza bilineata,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Absent,Absent,Present,Present,Absent
Lark Sparrow,Chondestes grammacus,Native,Least concern,Rare/Accidental,Native,Native,native,native,native,Rare/Accidental,Absent,Native,Native,Rare/Accidental
Lark Bunting,Calamospiza melanocorys,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Absent,Absent,Present,Present,Absent
Costa Rican Brushfinch,Arremon costaricensis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-headed Brushfinch,Arremon atricapillus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Orange-billed Sparrow,Arremon aurantiirostris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Green-striped Brushfinch,Arremon virenticeps,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Chestnut-capped Brushfinch,Arremon brunneinucha,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Sooty-faced Finch,Arremon crassirostris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
American Tree Sparrow,Spizelloides arborea,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Absent,Present
Fox Sparrow,Passerella iliaca,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Dark-eyed Junco,Junco hyemalis,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
