speciesCode,comName,sciName,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
bltcan1,Black-throated Canary,Crithagra atrogularis,,,,,,Present,,,,,
strsee1,Streaky Seedeater,Crithagra striolata,,,,,,Present,,,,,
eurlin1,Eurasian Linnet,Linaria cannabina,Present,,Present,,,,,,,,
redpol1,Redpoll,Acanthis flammea,Present,Present,Present,Present,Present,Present,Present,,Present,,Present
redcro,Red Crossbill,Loxia curvirostra,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
redcro9,Cassia Crossbill,Loxia sinesciuris,,,,Present,,Present,,,,,
hiscro,Hispaniolan Crossbill,Loxia megaplaga,,,,,,,,,,,Present
whwcro,White-winged Crossbill,Loxia leucoptera,Present,Present,Present,Present,Present,Present,Present,,Present,,Present
eurgol,European Goldfinch,Carduelis carduelis,Present,Present,Present,Present,Present,Present,,,Present,,Present
eurgol2,Gray-crowned Goldfinch,Carduelis caniceps,Present,,Present,,,Present,,,Present,,
eurser1,European Serin,Serinus serinus,Present,,,,,Present,,,,,
comcan,Island Canary,Serinus canaria,Present,Present,Present,Present,Present,Present,,Present,Present,Present,Present
eursis,Eurasian Siskin,Spinus spinus,Present,,Present,,,,Present,,Present,,
pinsis,Pine Siskin,Spinus pinus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
blcsis1,Black-capped Siskin,Spinus atriceps,,,,,,,,,,Present,
blhsis1,Black-headed Siskin,Spinus notatus,,,,,Present,,,,,Present,
antsis1,Antillean Siskin,Spinus dominicensis,,,,,,,,,,,Present
lesgol,Lesser Goldfinch,Spinus psaltria,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
lawgol,Lawrence's Goldfinch,Spinus lawrencei,,,Present,Present,Present,Present,,,,Present,
amegfi,American Goldfinch,Spinus tristis,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
yebsis1,Yellow-bellied Siskin,Spinus xanthogastrus,,,,,,,,,,Present,
redsis1,Red Siskin,Spinus cucullatus,Present,,,,,,,,,,Present
hoosis1,Hooded Siskin,Spinus magellanicus,,,,,,Present,,,,,
blasis1,Black Siskin,Spinus atratus,,,,,,Present,,,,,
laplon,Lapland Longspur,Calcarius lapponicus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
chclon,Chestnut-collared Longspur,Calcarius ornatus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
smilon,Smith's Longspur,Calcarius pictus,Present,Present,Present,Present,Present,Present,Present,,Present,,
mcclon,Thick-billed Longspur,Rhynchophanes mccownii,Present,Present,Present,Present,Present,Present,,,Present,Present,
snobun,Snow Bunting,Plectrophenax nivalis,Present,Present,Present,Present,Present,Present,Present,Present,Present,,Present
mckbun,McKay's Bunting,Plectrophenax hyperboreus,,,,,,Present,Present,,Present,,
rottan2,Rosy Thrush-Tanager,Rhodinocichla rosea,,,,,,,,,,Present,
yellow2,Yellowhammer,Emberiza citrinella,,,Present,,,,,,,,
pinbun,Pine Bunting,Emberiza leucocephalos,,,,,,,Present,,Present,,
yetbun1,Yellow-throated Bunting,Emberiza elegans,,,,,,,Present,,,,
palbun,Pallas's Bunting,Emberiza pallasi,,,,,,,Present,,Present,,
reebun,Reed Bunting,Emberiza schoeniclus,,,,,,,Present,,,,
yebbun,Yellow-breasted Bunting,Emberiza aureola,,,,,,,Present,,Present,,
litbun,Little Bunting,Emberiza pusilla,,Present,,,Present,Present,Present,,Present,Present,
rusbun,Rustic Bunting,Emberiza rustica,,,,,,Present,Present,,Present,,
yebbun1,Yellow-browed Bunting,Emberiza chrysophrys,,,,,,,Present,,,,
