speciesCode,comName,sciName,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
refpar1,Red-fronted Parrotlet,Touit costaricensis,,,,,,,,,,Present,
bufpar1,Blue-fronted Parrotlet,Touit dilectissimus,,,,,,,,,,Present,
barpar1,Barred Parakeet,Bolborhynchus lineola,,,,,Present,,,,,Present,
monpar,Monk Parakeet,Myiopsitta monachus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
whwpar,White-winged Parakeet,Brotogeris versicolurus,Present,Present,Present,,Present,Present,,,,,Present
yecpar,Yellow-chevroned Parakeet,Brotogeris chiriri,Present,Present,Present,Present,Present,Present,,,,,Present
orcpar,Orange-chinned Parakeet,Brotogeris jugularis,,,,,,,,,,Present,
brhpar1,Brown-hooded Parrot,Pyrilia haematotis,,,,,,,,,,Present,
sahpar1,Saffron-headed Parrot,Pyrilia pyrilia,,,,,,,,,,Present,
duspar1,Dusky Parrot,Pionus fuscus,,,,,,,,,,,Present
schpar1,Scaly-headed Parrot,Pionus maximiliani,,Present,,,,Present,,,,Present,
blhpar1,Blue-headed Parrot,Pionus menstruus,,,,,,,,Present,,Present,Present
whcpar,White-crowned Parrot,Pionus senilis,,,,,Present,,,,,Present,
brwpar1,Bronze-winged Parrot,Pionus chalcopterus,,,,,,,,,,,Present
fespar1,Festive Amazon,Amazona festiva,,,,,,,,,,,Present
respar2,Red-spectacled Amazon,Amazona pretrei,,Present,,,,,,,,,
recpar,Red-crowned Amazon,Amazona viridigenalis,,Present,Present,Present,Present,Present,,Present,,Present,Present
licpar,Lilac-crowned Amazon,Amazona finschi,,Present,,,Present,Present,,Present,,Present,
relpar10,Red-lored Amazon,Amazona autumnalis,Present,Present,,,Present,Present,,,,Present,Present
renpar1,Red-necked Amazon,Amazona arausiaca,,,,,,,,,,,Present
stlpar1,St. Lucia Amazon,Amazona versicolor,,,,,,,,,,,Present
yenpar1,Yellow-naped Amazon,Amazona auropalliata,,Present,,,Present,,,,,Present,Present
yehpar,Yellow-headed Amazon,Amazona oratrix,Present,Present,Present,,Present,Present,,Present,,Present,Present
ywcpar,Yellow-crowned Amazon,Amazona ochrocephala,,Present,,,Present,Present,,,,Present,Present
yespar1,Yellow-shouldered Amazon,Amazona barbadensis,,Present,,,,,,,,,Present
bufpar,Turquoise-fronted Amazon,Amazona aestiva,,Present,,,,Present,,Present,,Present,Present
blbpar1,Black-billed Amazon,Amazona agilis,,,,,,,,,,,Present
whfpar1,White-fronted Amazon,Amazona albifrons,Present,Present,,,Present,Present,,,,Present,Present
yelpar1,Yellow-lored Amazon,Amazona xantholora,,,Present,,Present,,,,,Present,
yebpar1,Yellow-billed Amazon,Amazona collaria,,,,,,,,,,,Present
cubpar1,Cuban Amazon,Amazona leucocephala,,,,,,,,,,,Present
hispar1,Hispaniolan Amazon,Amazona ventralis,,Present,,,,,,,,,Present
purpar1,Puerto Rican Amazon,Amazona vittata,,,,,,,,,,,Present
meapar,Mealy Amazon,Amazona farinosa,,Present,,,,Present,,,,Present,
imppar1,Imperial Amazon,Amazona imperialis,,,,,,,,,,,Present
stvpar1,St. Vincent Amazon,Amazona guildingii,,,,,,,,,,,Present
orwpar,Orange-winged Amazon,Amazona amazonica,,Present,,,,Present,,,,,Present
mexpar1,Mexican Parrotlet,Forpus cyanopygius,,,,,,,,,,Present,
grrpar1,Green-rumped Parrotlet,Forpus passerinus,,Present,,,,,,,,,Present
spepar1,Spectacled Parrotlet,Forpus conspicillatus,,,,,,,,,,Present,
pacpar2,Pacific Parrotlet,Forpus coelestis,,,Present,,,Present,,,,,
blhpar4,Black-headed Parrot,Pionites melanocephalus,,Present,,,,,,,,,Present
refpar3,Red-fan Parrot,Deroptyus accipitrinus,,,,,,,,,,,Present
mabpar,Maroon-bellied Parakeet,Pyrrhura frontalis,,Present,,,,Present,,,,,
gncpar,Green-cheeked Parakeet,Pyrrhura molinae,,Present,,,Present,Present,,,Present,,Present
paipar1,Subandean Parakeet,Pyrrhura subandina,,,,,,,,,,Present,
blcpar1,Black-capped Parakeet,Pyrrhura rupicola,,,,,,Present,,,,,
suwpar1,Sulphur-winged Parakeet,Pyrrhura hoffmanni,,,,,,,,,,Present,
burpar,Burrowing Parakeet,Cyanoliseus patagonus,,,,,,Present,,Present,,Present,
hyamac1,Hyacinth Macaw,Anodorhynchus hyacinthinus,,Present,,,Present,Present,,,,,
thbpar,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,,,,,Present,,,,,Present,
mafpar1,Maroon-fronted Parrot,Rhynchopsitta terrisi,,,,,,,,,,Present,
oltpar1,Olive-throated Parakeet,Eupsittula nana,,,,,Present,,,,,Present,Present
orfpar,Orange-fronted Parakeet,Eupsittula canicularis,Present,Present,Present,,Present,Present,,,,Present,Present
pefpar1,Peach-fronted Parakeet,Eupsittula aurea,Present,Present,,,Present,,,,,,Present
brtpar1,Brown-throated Parakeet,Eupsittula pertinax,,,,,,,,,,Present,Present
carpar,Carolina Parakeet,Conuropsis carolinensis,,Present,Present,,,,,,,,
duhpar,Dusky-headed Parakeet,Aratinga weddellii,,Present,Present,,,,,,,,
bkhpar,Nanday Parakeet,Aratinga nenday,Present,Present,Present,Present,Present,Present,,Present,Present,Present,Present
sunpar1,Sun Parakeet,Aratinga solstitialis,Present,Present,Present,Present,Present,Present,,,,,Present
janpar1,Jandaya Parakeet,Aratinga jandaya,,,,,,Present,,,,,Present
rebmac2,Red-bellied Macaw,Orthopsittaca manilatus,,,,,,,,,,,Present
baymac,Blue-and-yellow Macaw,Ara ararauna,Present,Present,,,Present,Present,,Present,,Present,Present
chfmac1,Chestnut-fronted Macaw,Ara severus,,Present,Present,,Present,,,,,Present,Present
cubmac1,Cuban Macaw,Ara tricolor,,,,,,,,,,,Present
refmac1,Red-fronted Macaw,Ara rubrogenys,,,,,Present,,,,,,
milmac,Military Macaw,Ara militaris,,Present,,,Present,Present,,,,Present,Present
grgmac,Great Green Macaw,Ara ambiguus,Present,Present,,,,,,,,Present,
scamac1,Scarlet Macaw,Ara macao,,Present,,Present,Present,Present,,,Present,Present,Present
ragmac1,Red-and-green Macaw,Ara chloropterus,,Present,,,,Present,,Present,,Present,Present
golpar3,Golden Parakeet,Guaruba guarouba,,Present,,,,,,,,,
bucpar,Blue-crowned Parakeet,Thectocercus acuticaudatus,,Present,Present,,Present,Present,,Present,,Present,Present
resmac2,Red-shouldered Macaw,Diopsittaca nobilis,,Present,,,,,,,,,Present
grnpar,Green Parakeet,Psittacara holochlorus,,Present,,,Present,Present,,,,Present,
grnpar2,Socorro Parakeet,Psittacara brevipes,,,,,,,,,,Present,
pacpar1,Pacific Parakeet,Psittacara strenuus,,,,,,,,,,Present,
crfpar,Crimson-fronted Parakeet,Psittacara finschi,,Present,Present,,,,,,,Present,
scfpar2,Scarlet-fronted Parakeet,Psittacara wagleri,,Present,,,,,,,,,Present
mitpar,Mitred Parakeet,Psittacara mitratus,Present,Present,Present,,Present,Present,,Present,Present,Present,Present
rempar,Red-masked Parakeet,Psittacara erythrogenys,Present,Present,,,Present,Present,,Present,,Present,Present
whepar2,White-eyed Parakeet,Psittacara leucophthalmus,,Present,,,,Present,,,,,Present
cubpar2,Cuban Parakeet,Psittacara euops,,,,,,,,,,,Present
hispar,Hispaniolan Parakeet,Psittacara chloropterus,,Present,Present,,,,,,,,Present
purpar2,Puerto Rican Parakeet,Psittacara maugei,,,,,,,,,,,Present
sapayo1,Sapayoa,Sapayoa aenigma,,,,,,,,,,Present,
rurant1,Rufous-rumped Antwren,Euchrepomis callinota,,,,,,,,,,Present,
fasant1,Fasciated Antshrike,Cymbilaimus lineatus,,,,,,,,,,Present,
greant1,Great Antshrike,Taraba major,,,,,,,,,,Present,Present
blcant4,Black-crested Antshrike,Sakesphorus canadensis,,,,,,,,,,,Present
barant1,Barred Antshrike,Thamnophilus doliatus,,,,,Present,,,,,Present,Present
wesant1,Black-crowned Antshrike,Thamnophilus atrinucha,,,,,,,,,,Present,
blhant2,Black-hooded Antshrike,Thamnophilus bridgesi,,,,,,,,,,Present,
blaant1,Black Antshrike,Thamnophilus nigriceps,,,,,,,,,,Present,
rusant1,Russet Antshrike,Thamnistes anabatinus,,,,,,,,,,Present,
plaant1,Plain Antvireo,Dysithamnus mentalis,,,,,,,,,,Present,Present
stcant1,Streak-crowned Antvireo,Dysithamnus striaticeps,,,,,,,,,,Present,
spcant1,Spot-crowned Antvireo,Dysithamnus puncticeps,,,,,,,,,,Present,
spfant1,Spiny-faced Antshrike,Xenornis setifrons,,,,,,,,,,Present,
chtant1,Checker-throated Stipplethroat,Epinecrophylla fulviventris,,,,,,,,,,Present,
mouant,Moustached Antwren,Myrmotherula ignota,,,,,,,,,,Present,
pacant,Pacific Antwren,Myrmotherula pacifica,,,,,,,,,,Present,
whfant2,White-flanked Antwren,Myrmotherula axillaris,,,,,,,,,,Present,Present
slaant1,Slaty Antwren,Myrmotherula schisticolor,,,,,,,,,,Present,
ruwant3,Rusty-winged Antwren,Herpsilochmus frater,,,,,,,,,,Present,
dowant1,Dot-winged Antwren,Microrhopias quixensis,,,,,,,,,,Present,
whfant4,Northern White-fringed Antwren,Formicivora intermedia,,,,,,,,,,Present,Present
dusant1,Dusky Antbird,Cercomacroides tyrannina,,,,,,,,,,Present,
jetant1,Jet Antbird,Cercomacra nigricans,,,,,,,,,,Present,
bacant1,Bare-crowned Antbird,Gymnocichla nudiceps,,,,,,,,,,Present,
silant1,Silvered Antbird,Sclateria naevia,,,,,,,,,,,Present
whbant1,White-bellied Antbird,Myrmeciza longipes,,,,,,,,,,Present,Present
chbant1,Chestnut-backed Antbird,Poliocrania exsul,,,,,,,,,,Present,
dumant1,Dull-mantled Antbird,Sipia laemosticta,,,,,,,,,,Present,
zelant1,Zeledon's Antbird,Hafferia zeledoni,,,,,,,,,,Present,
wibant1,Wing-banded Antbird,Myrmornis torquata,,,,,,,,,,Present,
bicant2,Bicolored Antbird,Gymnopithys bicolor,,,,,,,,,,Present,
spoant1,Spotted Antbird,Hylophylax naevioides,,,,,,,,,,Present,
oceant1,Ocellated Antbird,Phaenostictus mcleannani,,,,,,,,,,Present,
blcant1,Black-crowned Antpitta,Pittasoma michleri,,,,,,,,,,Present,
scaant1,Scaled Antpitta,Grallaria guatimalensis,,,,,,,,,,Present,Present
stcant2,Streak-chested Antpitta,Hylopezus perspicillatus,,,,,,,,,,Present,
thiant1,Thicket Antpitta,Myrmothera dives,,,,,,,,,,Present,
ocbant1,Ochre-breasted Antpitta,Grallaricula flavirostris,,,,,,,,,,Present,
siftap1,Silvery-fronted Tapaculo,Scytalopus argentifrons,,,,,,,,,,Present,
tactap1,Tacarcuna Tapaculo,Scytalopus panamensis,,,,,,,,,,Present,
chotap1,Choco Tapaculo,Scytalopus chocoensis,,,,,,,,,,Present,
bkfant2,Mayan Antthrush,Formicarius moniliger,,,,,,,,,,Present,
blfant1,Black-faced Antthrush,Formicarius analis,,,,,,,,,,Present,Present
bkhant7,Black-capped Antthrush,Formicarius nigricapillus,,,,,,,,,,Present,
rubant1,Rufous-breasted Antthrush,Formicarius rufipectus,,,,,,,,,,Present,
tatlea1,Middle American Leaftosser,Sclerurus mexicanus,,,,,,,,,,Present,
sctlea1,Scaly-throated Leaftosser,Sclerurus guatemalensis,,,,,,,,,,Present,
grtlea1,Gray-throated Leaftosser,Sclerurus albigularis,,,,,,,,,,Present,Present
oliwoo1,Olivaceous Woodcreeper,Sittasomus griseicapillus,,,,,,,,,,Present,Present
lotwoo3,Piping Long-tailed Woodcreeper,Deconychura typica,,,,,,,,,,Present,
rudwoo1,Ruddy Woodcreeper,Dendrocincla homochroa,,,,,,,,,,Present,
tawwoo1,Tawny-winged Woodcreeper,Dendrocincla anabatina,,,,,,,,,,Present,
plbwoo1,Plain-brown Woodcreeper,Dendrocincla fuliginosa,,,,,,,,,,Present,Present
webwoo1,Wedge-billed Woodcreeper,Glyphorynchus spirurus,,,,,,,,,,Present,
nobwoo1,Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae,,,,,,,,,,Present,
blbwoo1,Black-banded Woodcreeper,Dendrocolaptes picumnus,,,,,,,,,,Present,
stbwoo1,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,,,,,,,,,,Present,
cocwoo1,Cocoa Woodcreeper,Xiphorhynchus susurrans,,,,,,,,,,Present,Present
ivbwoo1,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,,,,,,,,,,Present,
blswoo1,Black-striped Woodcreeper,Xiphorhynchus lachrymosus,,,,,,,,,,Present,
spowoo1,Spotted Woodcreeper,Xiphorhynchus erythropygius,,,,,,,,,,Present,
stbwoo2,Straight-billed Woodcreeper,Dendroplex picus,,,,,,,,,,Present,Present
rebscy1,Red-billed Scythebill,Campylorhamphus trochilirostris,,,,,,,,,,Present,
brbscy1,Brown-billed Scythebill,Campylorhamphus pusillus,,,,,,,,,,Present,
sthwoo1,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,,,,,,,,,,Present,Present
whswoo1,White-striped Woodcreeper,Lepidocolaptes leucogaster,,,,,,,,,,Present,
spcwoo1,Spot-crowned Woodcreeper,Lepidocolaptes affinis,,,,,,,,,,Present,
plaxen2,Northern Plain-Xenops,Xenops mexicanus,,,,,,,,,,Present,
strxen1,Streaked Xenops,Xenops rutilans,,,,,,,,,,Present,Present
buftuf1,Buffy Tuftedcheek,Pseudocolaptes lawrencii,,,,,,,,,,Present,
shtstr1,Sharp-tailed Streamcreeper,Lochmias nematura,,,,,,,,,,Present,
swfgle,Slaty-winged Foliage-gleaner,Neophilydor fuscipenne,,,,,,,,,,Present,
stfgle1,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,,,,,,,,,,Present,
lifgle1,Lineated Foliage-gleaner,Syndactyla subalaris,,,,,,,,,,Present,
bffgle,Buff-fronted Foliage-gleaner,Dendroma rufa,,,,,,,,,,Present,
rufgle1,Ruddy Foliage-gleaner,Clibanornis rubiginosus,,,,,,,,,,Present,
stbtre1,Streak-breasted Treehunter,Thripadectes rufobrunneus,,,,,,,,,,Present,
butfog9,Fawn-throated Foliage-gleaner,Automolus cervinigularis,,,,,,,,,,Present,
butfog4,Chiriqui Foliage-gleaner,Automolus exsertus,,,,,,,,,,Present,
btfgle1,Ochre-throated Foliage-gleaner,Automolus ochrolaemus,,,,,,,,,,Present,
strwoo5,Western Woodhaunter,Automolus virgatus,,,,,,,,,,Present,
spobar1,Spotted Barbtail,Premnoplex brunnescens,,,,,,,,,,Present,
beatre1,Beautiful Treerunner,Margarornis bellulus,,,,,,,,,,Present,
rudtre1,Ruddy Treerunner,Margarornis rubiginosus,,,,,,,,,,Present,
dobgra1,Double-banded Graytail,Xenerpestes minlosi,,,,,,,,,,Present,
rubspi5,Coiba Spinetail,Cranioleuca dissita,,,,,,,,,,Present,
refspi1,Red-faced Spinetail,Cranioleuca erythrops,,,,,,,,,,Present,
yecspi2,Yellow-chinned Spinetail,Certhiaxis cinnamomeus,,,,,,,,,,,Present
slaspi1,Slaty Spinetail,Synallaxis brachyura,,,,,,,,,,Present,
pabspi1,Pale-breasted Spinetail,Synallaxis albescens,,,,,,,,,,Present,Present
rubspi2,Rufous-breasted Spinetail,Synallaxis erythrothorax,,,,,,,,,,Present,
stbspi1,Stripe-breasted Spinetail,Synallaxis cinnamomea,,,,,,,,,,,Present
latman1,Lance-tailed Manakin,Chiroxiphia lanceolata,,,,,,,,,,Present,
lotman1,Long-tailed Manakin,Chiroxiphia linearis,,,,,,,,,,Present,
blbman1,Blue-backed Manakin,Chiroxiphia pareola,,,,,,,,,,,Present
whrman1,White-ruffed Manakin,Corapipo altera,,,,,,,,,,Present,
grnman1,Choco Manakin,Cryptopipo litae,,,,,,,,,,Present,
bucman1,Velvety Manakin,Lepidothrix velutina,,,,,,,,,,Present,
whcman1,White-collared Manakin,Manacus candei,,,,,,,,,,Present,
orcman1,Orange-collared Manakin,Manacus aurantiacus,,,,,,,,,,Present,
gocman1,Golden-collared Manakin,Manacus vitellinus,,,,,,,,,,Present,
whbman1,White-bearded Manakin,Manacus manacus,,,,,,,,,,,Present
whcman2,White-crowned Manakin,Pseudopipra pipra,,,,,,,,,,Present,
recman1,Red-capped Manakin,Ceratopipra mentalis,,,,,,,,,,Present,
gohman1,Golden-headed Manakin,Ceratopipra erythrocephala,,,,,,,,,,Present,Present
putfru1,Purple-throated Fruitcrow,Querula purpurata,,,,,,,,,,Present,
banumb1,Bare-necked Umbrellabird,Cephalopterus glabricollis,,,,,,,,,,Present,
lovcot1,Lovely Cotinga,Cotinga amabilis,,,,,,,,,,Present,
turcot1,Turquoise Cotinga,Cotinga ridgwayi,,,,,,,,,,Present,
blucot1,Blue Cotinga,Cotinga nattererii,,,,,,,,,,Present,
rufpih1,Rufous Piha,Lipaugus unirufus,,,,,,,,,,Present,
thwbel,Three-wattled Bellbird,Procnias tricarunculatus,,,,,,,,,,Present,
beabel1,Bearded Bellbird,Procnias averano,,,,,,,,,,,Present
bltcot1,Black-tipped Cotinga,Carpodectes hopkei,,,,,,,,,,Present,
yebcot1,Yellow-billed Cotinga,Carpodectes antoniae,,,,,,,,,,Present,
snocot1,Snowy Cotinga,Carpodectes nitidus,,,,,,,,,,Present,
blttit1,Black-tailed Tityra,Tityra cayana,,,,,,,,,,,Present
blctit1,Black-crowned Tityra,Tityra inquisitor,,,,,,,,,,Present,
mastit1,Masked Tityra,Tityra semifasciata,,,,,Present,,,,,Present,
thlsch2,Northern Schiffornis,Schiffornis veraepacis,,,,,,,,,,Present,
thlsch4,Russet-winged Schiffornis,Schiffornis stenorhyncha,,,,,,,,,,Present,
spemou1,Speckled Mourner,Laniocera rufescens,,,,,,,,,,Present,
barbec1,Barred Becard,Pachyramphus versicolor,,,,,,,,,,Present,
cinbec2,Cinereous Becard,Pachyramphus rufus,,,,,,,,,,Present,
cinbec1,Cinnamon Becard,Pachyramphus cinnamomeus,,,,,,,,,,Present,
whwbec1,White-winged Becard,Pachyramphus polychopterus,,,,,,,,,,Present,Present
bawbec7,Black-and-white Becard,Pachyramphus albogriseus,,,,,,,,,,Present,
grcbec1,Gray-collared Becard,Pachyramphus major,,,,,Present,,,,,Present,
rotbec,Rose-throated Becard,Pachyramphus aglaiae,,,,,Present,,,,,Present,
jambec1,Jamaican Becard,Pachyramphus niger,,,,,,,,,,,Present
oncbec1,One-colored Becard,Pachyramphus homochrous,,,,,,,,,,Present,
sharpb1,Sharpbill,Oxyruncus cristatus,,,,,,,,,,Present,
royfly1,Tropical Royal Flycatcher,Onychorhynchus coronatus,,,,,,,,,,Present,
rutfly2,Ruddy-tailed Flycatcher,Terenotriccus erythrurus,,,,,,,,,,Present,
tabfly1,Tawny-breasted Flycatcher,Myiobius villosus,,,,,,,,,,Present,
surfly1,Sulphur-rumped Flycatcher,Myiobius sulphureipygius,,,,,,,,,,Present,
bltfly1,Black-tailed Flycatcher,Myiobius atricaudus,,,,,,,,,,Present,
grhpip1,Gray-headed Piprites,Piprites griseiceps,,,,,,,,,,Present,
sttspa1,Stub-tailed Spadebill,Platyrinchus cancrominus,,,,,,,,,,Present,
whtspa1,White-throated Spadebill,Platyrinchus mystaceus,,,,,,,,,,Present,Present
gocspa1,Golden-crowned Spadebill,Platyrinchus coronatus,,,,,,,,,,Present,
olsfly2,Olive-streaked Flycatcher,Mionectes olivaceus,,,,,,,,,,Present,
olsfly1,Olive-striped Flycatcher,Mionectes galbinus,,,,,,,,,,Present,Present
ocbfly1,Ochre-bellied Flycatcher,Mionectes oleagineus,,,,,,,,,,Present,Present
secfly1,Sepia-capped Flycatcher,Leptopogon amaurocephalus,,,,,,,,,,Present,
slcfly1,Slaty-capped Flycatcher,Leptopogon superciliaris,,,,,,,,,,Present,Present
yegtyr1,Yellow-green Tyrannulet,Phylloscartes flavovirens,,,,,,,,,,Present,
rubtyr1,Rufous-browed Tyrannulet,Phylloscartes superciliaris,,,,,,,,,,Present,
boptyr1,Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni,,,,,,,,,,Present,
bcptyr1,Black-capped Pygmy-Tyrant,Myiornis atricapillus,,,,,,,,,,Present,
stptyr1,Short-tailed Pygmy-Tyrant,Myiornis ecaudatus,,,,,,,,,,,Present
scptyr1,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus,,,,,,,,,,Present,
peptyr1,Pale-eyed Pygmy-Tyrant,Atalotriccus pilaris,,,,,,,,,,Present,
norben1,Northern Bentbill,Oncostoma cinereigulare,,,,,,,,,,Present,
souben1,Southern Bentbill,Oncostoma olivaceum,,,,,,,,,,Present,
shtfly1,Slate-headed Tody-Flycatcher,Poecilotriccus sylvia,,,,,,,,,,Present,
sptfly1,Spotted Tody-Flycatcher,Todirostrum maculatum,,,,,,,,,,,Present
cotfly1,Common Tody-Flycatcher,Todirostrum cinereum,,,,,,,,,,Present,
bhtfly1,Black-headed Tody-Flycatcher,Todirostrum nigriceps,,,,,,,,,,Present,
brofly1,Brownish Twistwing,Cnipodectes subbrunneus,,,,,,,,,,Present,
eyrfla1,Eye-ringed Flatbill,Rhynchocyclus brevirostris,,,,,,,,,,Present,
olifla2,Western Olivaceous Flatbill,Rhynchocyclus aequinoctialis,,,,,,,,,,Present,
yeofly1,Yellow-olive Flatbill,Tolmomyias sulphurescens,,,,,,,,,,Present,Present
yemfly2,Yellow-winged Flatbill,Tolmomyias flavotectus,,,,,,,,,,Present,
yebfly3,Ochre-lored Flatbill,Tolmomyias flaviventris,,,,,,,,,,Present,Present
yebtyr1,Yellow-bellied Tyrannulet,Ornithion semiflavum,,,,,,,,,,Present,
brctyr,Brown-capped Tyrannulet,Ornithion brunneicapillus,,,,,,,,,,Present,
nobtyr,Northern Beardless-Tyrannulet,Camptostoma imberbe,,,,,Present,,,,,Present,
sobtyr1,Southern Beardless-Tyrannulet,Camptostoma obsoletum,,,,,,,,,,Present,Present
cocfly1,Cocos Tyrannulet,Nesotriccus ridgwayi,,,,,,,,,,Present,
y01204,Mouse-colored Tyrannulet,Nesotriccus murinus,,,,,,,,,,Present,Present
yeltyr1,Yellow Tyrannulet,Capsiempis flaveola,,,,,,,,,,Present,
credor1,Crested Doradito,Pseudocolopteryx sclateri,,,,,,,,,,,Present
yectyr1,Yellow-crowned Tyrannulet,Tyrannulus elatus,,,,,,,,,,Present,
forela1,Forest Elaenia,Myiopagis gaimardii,,,,,,,,,,Present,Present
gryela1,Choco Elaenia,Myiopagis parambae,,,,,,,,,,Present,
jamela1,Jamaican Elaenia,Myiopagis cotta,,,,,,,,,,,Present
greela,Greenish Elaenia,Myiopagis viridicata,,,,,Present,,,,,Present,
slaela1,Slaty Elaenia,Elaenia strepera,,,,,,,,,,,Present
yebela1,Yellow-bellied Elaenia,Elaenia flavogaster,,,,,,,,,,Present,Present
smbela1,Small-billed Elaenia,Elaenia parvirostris,,Present,Present,,Present,Present,,,Present,,Present
lesela1,Lesser Elaenia,Elaenia chiriquensis,,,,,,,,,,Present,Present
whcela1,White-crested Elaenia,Elaenia albiceps,,,Present,,Present,,,,,,
mouela1,Mountain Elaenia,Elaenia frantzii,,,,,,,,,,Present,
carela1,Caribbean Elaenia,Elaenia martinica,,,,,,,,,,Present,Present
graela3,Blue Mountain Elaenia,Elaenia fallax,,,,,,,,,,,Present
graela4,Hispaniolan Elaenia,Elaenia cherriei,,,,,,,,,,,Present
tortyr1,Torrent Tyrannulet,Serpophaga cinerea,,,,,,,,,,Present,
sohtyr1,Sooty-headed Tyrannulet,Phyllomyias griseiceps,,,,,,,,,,Present,
roltyr1,White-fronted Tyrannulet,Acrochordopus zeledoni,,,,,,,,,,Present,
paltyr2,Guatemalan Tyrannulet,Zimmerius vilissimus,,,,,,,,,,Present,
paltyr3,Mistletoe Tyrannulet,Zimmerius parvus,,,,,,,,,,Present,
brcfly1,Bran-colored Flycatcher,Myiophobus fasciatus,,,,,,,,,,Present,Present
eulfly1,Euler's Flycatcher,Lathrotriccus euleri,,,,,,,,,,,Present
tacfly1,Tawny-chested Flycatcher,Aphanotriccus capitalis,,,,,,,,,,Present,
blbfly1,Black-billed Flycatcher,Aphanotriccus audax,,,,,,,,,,Present,
belfly1,Belted Flycatcher,Xenotriccus callizonus,,,,,,,,,,Present,
pilfly1,Pileated Flycatcher,Xenotriccus mexicanus,,,,,,,,,,Present,
tuffly,Tufted Flycatcher,Mitrephanes phaeocercus,,,,,Present,,,,,Present,
olsfly,Olive-sided Flycatcher,Contopus cooperi,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
ochpew1,Ochraceous Pewee,Contopus ochraceus,,,,,,,,,,Present,
grepew,Greater Pewee,Contopus pertinax,,,,Present,Present,Present,,,,Present,
darpew1,Dark Pewee,Contopus lugubris,,,,,,,,,,Present,
jampew1,Jamaican Pewee,Contopus pallidus,,,,,,,,,,,Present
wewpew,Western Wood-Pewee,Contopus sordidulus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
tropew4,Northern Tropical Pewee,Contopus bogotensis,,,,,,,,,,Present,Present
eawpew,Eastern Wood-Pewee,Contopus virens,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
cubpew1,Cuban Pewee,Contopus caribaeus,,Present,,,,,,,,,Present
hispew1,Hispaniolan Pewee,Contopus hispaniolensis,,,,,,,,,,,Present
leapew1,Lesser Antillean Pewee,Contopus latirostris,,,,,,,,,,,Present
fusfly1,Fuscous Flycatcher,Cnemotriccus fuscatus,,,,,,,,,,,Present
yebfly,Yellow-bellied Flycatcher,Empidonax flaviventris,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
acafly,Acadian Flycatcher,Empidonax virescens,Present,Present,Present,Present,Present,,,,Present,Present,Present
aldfly,Alder Flycatcher,Empidonax alnorum,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
wilfly,Willow Flycatcher,Empidonax traillii,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
whtfly1,White-throated Flycatcher,Empidonax albigularis,,,,,,,,,,Present,
leafly,Least Flycatcher,Empidonax minimus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
hamfly,Hammond's Flycatcher,Empidonax hammondii,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
gryfly,Gray Flycatcher,Empidonax wrightii,Present,Present,Present,Present,Present,Present,,,Present,Present,
dusfly,Dusky Flycatcher,Empidonax oberholseri,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
pinfly1,Pine Flycatcher,Empidonax affinis,,,,,Present,,,,,Present,
wesfly,Western Flycatcher,Empidonax difficilis,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
yelfly1,Yellowish Flycatcher,Empidonax flavescens,,,,,,,,,,Present,
bubfly,Buff-breasted Flycatcher,Empidonax fulvifrons,,,,Present,Present,Present,,,,Present,
blcfly1,Black-capped Flycatcher,Empidonax atriceps,,,,,,,,,,Present,
blkpho,Black Phoebe,Sayornis nigricans,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
easpho,Eastern Phoebe,Sayornis phoebe,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
saypho,Say's Phoebe,Sayornis saya,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
nosfly1,Northern Scrub-Flycatcher,Sublegatus arenarum,,,,,,,,,,Present,Present
verfly,Vermilion Flycatcher,Pyrocephalus rubinus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
whmtyr1,White-headed Marsh Tyrant,Arundinicola leucocephala,,,,,,,,,,,Present
piwtyr1,Pied Water-Tyrant,Fluvicola pica,,,,,,,,,,Present,Present
